comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_549,Jennifer Juniper,"I was there the day before, on 30/5. A dream come true to see this live :sparkles::red_heart:",,,,,,,
ct_551,Irie Elliott,Austin TX awaits 🙌🏽,,,,,,,
ct_552,lucalone,:tulip::tulip::rose::rose::sunflower::cherry_blossom::white_flower::rosette:,,,,,,,
ct_553,TouchPerInch,I'm traveling far far away right now...:shooting_star:,,,,,,,
ct_554,RetroSound,one of the best concerts I ever visited,,,,,,,
ct_555,f c,TOM OR MATTIE who reps 0161 MOST ,,,,,,,
ct_556,Doughnut Doney,So selection of songs after this album end song then?,,,,,,,
ct_562,MrTRIFORCE666,👏🏻👏🏻,,,,,,,
ct_572,TouchPerInch,another please!!! T.T,,,,,,,
ct_577,MrTRIFORCE666,:shooting_star::shooting_star:,,,,,,,
ct_579,MrTRIFORCE666,:glowing_star:,,,,,,,
ct_582,Steven Baker,@Doughnut Doney Yes 9 more songs,,,,,,,
ct_583,Leesmap Man,well there is radian,,,,,,,
ct_586,Angelina Evtikhova,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,,,,,,,
ct_591,blue_scape,I'm happy for you @Headsknow ,,,,,,,
ct_594,Headsknow,Thanks ,,,,,,,
ct_595,lucalone,:face_savoring_food:,,,,,,,
ct_597,Romeo CHARLIE,:musical_score::banjo::musical_keyboard:,,,,,,,
ct_599,popcorntommy,@Headsknow me too since the first track ,,,,,,,
ct_600,f c,MUAY THAI AND MUY LOCO,,,,,,,
ct_601,RetroSound,Mellotron flute :heart_with_ribbon:,,,,,,,
ct_603,Doughnut Doney,"plz say ""Cherry Blossom Girl"" was one of the 9 other tracks?",,,,,,,
ct_604,Romeo CHARLIE,:full_moon::waning_gibbous_moon::last_quarter_moon::waning_crescent_moon::new_moon:,,,,,,,
ct_605,Steven Baker,Venus Cherry Blossom Girl Run Highschool Lover Surfing on a Rocket Don't Be Light ...,,,,,,,
ct_606,Fabio Franco,yes it is,,,,,,,
ct_607,Fabio Franco,it's coming...,,,,,,,
ct_608,Doughnut Doney,great selection of other songs,,,,,,,
ct_609,Doughnut Doney,great its on,,,,,,,
ct_610,János,:blue_heart::white_heart::heart_suit:,,,,,,,
ct_612,Ganimedes Light,sexy cowboy,,,,,,,
ct_613,TouchPerInch,👏🏻👏🏻👏🏻,,,,,,,
ct_616,filtav,oush this one,,,,,,,
ct_618,f c,WAKE UP TODAY WITH A HEART IN MY HAND,,,,,,,
ct_619,Nat GE,uuuuuiii:red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_620,blue_scape,"Yeah, the next song is Cherry Blossom Girl ",,,,,,,
ct_621,Steven Baker,Then Alone in Kyoto and Electronic Performers encore,,,,,,,
ct_624,Pablo Veas,AIR is comming to chile on novemebr CTMMMMMMMMMMMMMMM,,,,,,,
ct_627,MrTRIFORCE666,:glowing_star: :glowing_star: :glowing_star:,,,,,,,
ct_628,f c,WHEN UR UPSET I WILL HUG YOU LIKE A LIFE JACKET IN THE OCEAN OF HATE,,,,,,,
ct_629,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_630,TouchPerInch,Si!!! vienen al Fauna primavera :red_heart::red_heart:,,,,,,,
ct_633,f c,BUT IF U NEED HELP,,,,,,,
ct_634,f c,I WE US KAMALA WILL CARRY YOU TO THE FINISH LINE ,,,,,,,
ct_636,Dolores Maldonado,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_637,filtav,fully heart language this album communicates,,,,,,,
ct_638,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_640,f c,THIRD STRING ,,,,,,,
ct_641,Marie Pennamen,:purple_heart::purple_heart::purple_heart:,,,,,,,
ct_644,f c,FOURTH ABOUT TO ARRIVE,,,,,,,
ct_647,Dan,stupendo :red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_648,MrTRIFORCE666,👏🏻👏🏻,,,,,,,
ct_656,The Shooting Star,!!!,,,,,,,
ct_657,RetroSound,Cherry,,,,,,,
ct_659,MrTRIFORCE666,:two_hearts:,,,,,,,
ct_660,filtav,super track,,,,,,,
ct_663,Headsknow,Ethereal ,,,,,,,
ct_664,TouchPerInch,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,,,,,,,
ct_666,Nat GE,cherry,,,,,,,
ct_668,Dolores Maldonado,cherry blossom girl :smiling_face_with_hearts:,,,,,,,
ct_669,Irie Elliott,:cherry_blossom::cherry_blossom::cherry_blossom:,,,,,,,
ct_670,Nat GE,:red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_675,f c,from above,,,,,,,
